test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
1,0,0.000009,0.000040,.2250,0,0,0
1,0,0.000009,0.000037,.2432,0,0,0
1,0,0.000010,0.000037,.2702,0,0,0
1,0,0.000011,0.000040,.2750,0,0,0
1,0,0.000010,0.000035,.2857,0,0,0
1,0,0.000009,0.000031,.2903,0,0,0
1,0,0.000011,0.000037,.2972,0,0,0
1,0,0.000011,0.000036,.3055,0,0,0
1,0,0.000011,0.000036,.3055,0,0,0
1,0,0.000011,0.000036,.3055,0,0,0
1,0,0.000012,0.000039,.3076,0,0,0
1,0,0.000012,0.000038,.3157,0,0,0
1,0,0.000012,0.000038,.3157,0,0,0
1,0,0.000011,0.000034,.3235,0,0,0
1,0,0.000012,0.000037,.3243,0,0,0
1,0,0.000012,0.000037,.3243,0,0,0
1,0,0.000012,0.000037,.3243,0,0,0
1,0,0.000013,0.000039,.3333,0,0,0
1,0,0.000013,0.000039,.3333,0,0,0
1,0,0.000012,0.000036,.3333,0,0,0
1,0,0.000012,0.000036,.3333,0,0,0
1,0,0.000013,0.000039,.3333,0,0,0
1,0,0.000012,0.000036,.3333,0,0,0
1,0,0.000013,0.000038,.3421,0,0,0
1,0,0.000012,0.000035,.3428,0,0,0
1,0,0.000010,0.000029,.3448,0,0,0
1,0,0.000012,0.000034,.3529,0,0,0
1,0,0.000013,0.000036,.3611,0,0,0
1,0,0.000014,0.000038,.3684,0,0,0
1,0,0.000014,0.000038,.3684,0,0,0
1,0,0.000012,0.000032,.3750,0,0,0
1,0,0.000014,0.000037,.3783,0,0,0
1,0,0.000013,0.000034,.3823,0,0,0
1,0,0.000013,0.000034,.3823,0,0,0
1,0,0.000013,0.000034,.3823,0,0,0
1,0,0.000014,0.000036,.3888,0,0,0
1,0,0.000014,0.000035,.4000,0,0,0
1,0,0.000014,0.000035,.4000,0,0,0
1,0,0.000013,0.000032,.4062,0,0,0
1,0,0.000013,0.000031,.4193,0,0,0
1,0,0.000015,0.000035,.4285,0,0,0
1,0,0.000013,0.000029,.4482,0,0,0
1,0,0.000013,0.000029,.4482,0,0,0
1,0,0.000014,0.000031,.4516,0,0,0
1,0,0.000014,0.000031,.4516,0,0,0
1,0,0.000014,0.000030,.4666,0,0,0
1,0,0.000013,0.000027,.4814,0,0,0
1,0,0.000014,0.000027,.5185,0,0,0
1,0,0.000022,0.000030,.7333,0,0,0
1,0,0.000025,0.000029,.8620,0,0,0
2,0,0.000903,0.000053,17.0377,0,0,0
2,0,0.000898,0.000050,17.9600,0,0,0
2,0,0.000900,0.000050,18.0000,0,0,0
2,0,0.000904,0.000050,18.0800,0,0,0
2,0,0.000907,0.000050,18.1400,0,0,0
2,0,0.000900,0.000049,18.3673,0,0,0
2,0,0.000927,0.000050,18.5400,0,0,0
2,0,0.000909,0.000049,18.5510,0,0,0
2,0,0.000898,0.000048,18.7083,0,0,0
2,0,0.000917,0.000049,18.7142,0,0,0
2,0,0.000937,0.000050,18.7400,0,0,0
2,0,0.000909,0.000048,18.9375,0,0,0
2,0,0.000921,0.000048,19.1875,0,0,0
2,0,0.000926,0.000048,19.2916,0,0,0
2,0,0.000899,0.000046,19.5434,0,0,0
2,0,0.000910,0.000046,19.7826,0,0,0
2,0,0.000951,0.000048,19.8125,0,0,0
2,0,0.000912,0.000046,19.8260,0,0,0
2,0,0.000918,0.000046,19.9565,0,0,0
2,0,0.000906,0.000045,20.1333,0,0,0
2,0,0.000917,0.000045,20.3777,0,0,0
2,0,0.000918,0.000045,20.4000,0,0,0
2,0,0.000923,0.000045,20.5111,0,0,0
2,0,0.000904,0.000044,20.5454,0,0,0
2,0,0.000925,0.000045,20.5555,0,0,0
2,0,0.000922,0.000044,20.9545,0,0,0
2,0,0.000923,0.000044,20.9772,0,0,0
2,0,0.000913,0.000043,21.2325,0,0,0
2,0,0.000925,0.000043,21.5116,0,0,0
2,0,0.000912,0.000042,21.7142,0,0,0
2,0,0.000940,0.000043,21.8604,0,0,0
2,0,0.000912,0.000041,22.2439,0,0,0
2,0,0.000936,0.000042,22.2857,0,0,0
2,0,0.000917,0.000041,22.3658,0,0,0
2,0,0.000911,0.000040,22.7750,0,0,0
2,0,0.000919,0.000040,22.9750,0,0,0
2,0,0.000928,0.000040,23.2000,0,0,0
2,0,0.000930,0.000040,23.2500,0,0,0
2,0,0.000923,0.000038,24.2894,0,0,0
2,0,0.000953,0.000039,24.4358,0,0,0
2,0,0.000913,0.000037,24.6756,0,0,0
2,0,0.000970,0.000039,24.8717,0,0,0
2,0,0.000957,0.000037,25.8648,0,0,0
2,0,0.001308,0.000050,26.1600,0,0,0
2,0,0.001286,0.000049,26.2448,0,0,0
2,0,0.001391,0.000048,28.9791,0,0,0
2,0,0.001299,0.000044,29.5227,0,0,0
2,0,0.001332,0.000042,31.7142,0,0,0
2,0,0.001351,0.000041,32.9512,0,0,0
2,0,0.001355,0.000035,38.7142,0,0,0
3,0,0.002253,0.000071,31.7323,0,0,0
3,0,0.002341,0.000071,32.9718,0,0,0
3,0,0.002281,0.000069,33.0579,0,0,0
3,0,0.002356,0.000071,33.1830,0,0,0
3,0,0.002288,0.000068,33.6470,0,0,0
3,0,0.002296,0.000066,34.7878,0,0,0
3,0,0.002410,0.000069,34.9275,0,0,0
