test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
1,64,1e-05,0.000315,0.031746031746031744,0.0007491111755371094,0.0484766960144043,0.015453016338294169
1,64,9e-06,6.2e-05,0.14516129032258066,0.0007386207580566406,0.0475771427154541,0.015524697699358065
1,64,1e-05,6.2e-05,0.16129032258064516,0.0007193088531494141,0.04784560203552246,0.015033959706795429
1,64,1.1e-05,5.9e-05,0.1864406779661017,0.0007455348968505859,0.04779553413391113,0.015598421701110895
1,64,9e-06,1.8e-05,0.5,0.0007143020629882812,0.046169281005859375,0.015471370734528629
1,64,1e-05,1.9e-05,0.5263157894736842,0.0007004737854003906,0.04662489891052246,0.015023599016153693
1,64,9e-06,1.7e-05,0.5294117647058824,0.0007002353668212891,0.04533529281616211,0.015445700762555878
1,64,9e-06,1.7e-05,0.5294117647058824,0.0007052421569824219,0.04533815383911133,0.015555158233506169
1,64,9e-06,1.7e-05,0.5294117647058824,0.0007188320159912109,0.046124935150146484,0.015584455862133133
1,64,9e-06,1.7e-05,0.5294117647058824,0.0007300376892089844,0.04623055458068848,0.015791237977360047
1,64,9e-06,1.7e-05,0.5294117647058824,0.0007202625274658203,0.04545712471008301,0.015844876508567564
1,64,9e-06,1.7e-05,0.5294117647058824,0.000728607177734375,0.045786380767822266,0.01591318565730413
1,64,9e-06,1.7e-05,0.5294117647058824,0.0007269382476806641,0.04475283622741699,0.016243400619049903
1,64,9e-06,1.7e-05,0.5294117647058824,0.0007650852203369141,0.045848846435546875,0.01668712039271154
1,64,1e-05,1.8e-05,0.5555555555555556,0.0007154941558837891,0.045476436614990234,0.0157332941879607
1,64,1e-05,1.8e-05,0.5555555555555556,0.0007343292236328125,0.046269893646240234,0.015870562168289793
1,64,1e-05,1.8e-05,0.5555555555555556,0.0007307529449462891,0.04587078094482422,0.01593068462961808
1,64,1e-05,1.8e-05,0.5555555555555556,0.0007433891296386719,0.0460820198059082,0.01613186949638352
1,64,1e-05,1.8e-05,0.5555555555555556,0.0007531642913818359,0.044808149337768555,0.016808645358334352
1,64,9e-06,1.6e-05,0.5625,0.0007383823394775391,0.04534649848937988,0.016283116978711546
1,64,9e-06,1.6e-05,0.5625,0.0007495880126953125,0.0450897216796875,0.0166243654822335
1,64,1e-05,1.7e-05,0.5882352941176471,0.0007069110870361328,0.046543121337890625,0.015188304237357593
1,64,1e-05,1.7e-05,0.5882352941176471,0.0007328987121582031,0.046942710876464844,0.015612620116612153
1,64,1e-05,1.7e-05,0.5882352941176471,0.0007071495056152344,0.045088768005371094,0.015683495843820724
1,64,1e-05,1.7e-05,0.5882352941176471,0.0007205009460449219,0.04524421691894531,0.015924708064584125
1,64,1e-05,1.7e-05,0.5882352941176471,0.0007410049438476562,0.046511173248291016,0.01593176202827529
1,64,1e-05,1.7e-05,0.5882352941176471,0.000732421875,0.04582548141479492,0.01598285173199588
1,64,1e-05,1.7e-05,0.5882352941176471,0.00072479248046875,0.04506421089172363,0.016083549808743314
1,64,1e-05,1.7e-05,0.5882352941176471,0.0007383823394775391,0.04585671424865723,0.016101946063419935
1,64,1e-05,1.7e-05,0.5882352941176471,0.0007321834564208984,0.04500865936279297,0.01626761309460748
