test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
1,0,0.081668,0.001364,59.8739,0,0,0
1,0,0.081676,0.001363,59.9236,0,0,0
1,0,0.081932,0.001364,60.0674,0,0,0
1,0,0.081977,0.001363,60.1445,0,0,0
1,0,0.081208,0.001317,61.6613,0,0,0
1,0,0.081013,0.001313,61.7006,0,0,0
1,0,0.081665,0.001323,61.7271,0,0,0
1,0,0.081251,0.001312,61.9291,0,0,0
1,0,0.081008,0.001308,61.9327,0,0,0
1,0,0.081158,0.001310,61.9526,0,0,0
1,0,0.081398,0.001312,62.0411,0,0,0
1,0,0.081310,0.001310,62.0687,0,0,0
1,0,0.081929,0.001319,62.1144,0,0,0
1,0,0.081498,0.001311,62.1647,0,0,0
1,0,0.081635,0.001313,62.1744,0,0,0
1,0,0.081639,0.001312,62.2248,0,0,0
1,0,0.081648,0.001312,62.2317,0,0,0
1,0,0.081570,0.001310,62.2671,0,0,0
1,0,0.081614,0.001310,62.3007,0,0,0
1,0,0.081620,0.001310,62.3053,0,0,0
1,0,0.081578,0.001309,62.3208,0,0,0
1,0,0.081743,0.001311,62.3516,0,0,0
1,0,0.081659,0.001309,62.3827,0,0,0
1,0,0.081912,0.001313,62.3853,0,0,0
1,0,0.081799,0.001311,62.3943,0,0,0
1,0,0.081675,0.001309,62.3949,0,0,0
1,0,0.081741,0.001310,62.3977,0,0,0
1,0,0.081891,0.001312,62.4169,0,0,0
1,0,0.081831,0.001310,62.4664,0,0,0
1,0,0.081960,0.001312,62.4695,0,0,0
1,0,0.081911,0.001311,62.4797,0,0,0
1,0,0.081789,0.001309,62.4820,0,0,0
1,0,0.082040,0.001313,62.4828,0,0,0
1,0,0.081858,0.001310,62.4870,0,0,0
1,0,0.081937,0.001311,62.4996,0,0,0
1,0,0.081886,0.001310,62.5083,0,0,0
1,0,0.081848,0.001309,62.5271,0,0,0
1,0,0.081998,0.001311,62.5461,0,0,0
1,0,0.082022,0.001311,62.5644,0,0,0
1,0,0.081911,0.001309,62.5752,0,0,0
1,0,0.082070,0.001311,62.6010,0,0,0
1,0,0.081970,0.001309,62.6203,0,0,0
1,0,0.082036,0.001310,62.6229,0,0,0
1,0,0.082127,0.001311,62.6445,0,0,0
1,0,0.082134,0.001311,62.6498,0,0,0
1,0,0.082093,0.001310,62.6664,0,0,0
1,0,0.082093,0.001310,62.6664,0,0,0
1,0,0.082129,0.001310,62.6938,0,0,0
1,0,0.082184,0.001310,62.7358,0,0,0
1,0,0.082403,0.001310,62.9030,0,0,0
2,0,0.121975,0.003513,34.7210,0,0,0
2,0,0.122208,0.003510,34.8170,0,0,0
2,0,0.122964,0.003511,35.0225,0,0,0
2,0,0.123013,0.003510,35.0464,0,0,0
2,0,0.121654,0.003458,35.1804,0,0,0
2,0,0.121788,0.003458,35.2192,0,0,0
2,0,0.121876,0.003459,35.2344,0,0,0
2,0,0.122020,0.003457,35.2964,0,0,0
2,0,0.122352,0.003458,35.3823,0,0,0
2,0,0.122425,0.003458,35.4034,0,0,0
2,0,0.122754,0.003467,35.4064,0,0,0
2,0,0.122454,0.003458,35.4117,0,0,0
2,0,0.122583,0.003460,35.4286,0,0,0
2,0,0.122597,0.003460,35.4326,0,0,0
2,0,0.122813,0.003466,35.4336,0,0,0
2,0,0.122514,0.003457,35.4393,0,0,0
2,0,0.122592,0.003458,35.4517,0,0,0
2,0,0.122687,0.003460,35.4586,0,0,0
2,0,0.122758,0.003462,35.4586,0,0,0
2,0,0.122708,0.003460,35.4647,0,0,0
2,0,0.122674,0.003459,35.4651,0,0,0
2,0,0.122650,0.003458,35.4684,0,0,0
2,0,0.122656,0.003458,35.4702,0,0,0
2,0,0.122712,0.003459,35.4761,0,0,0
2,0,0.122750,0.003460,35.4768,0,0,0
2,0,0.122756,0.003460,35.4786,0,0,0
2,0,0.122723,0.003458,35.4895,0,0,0
2,0,0.122827,0.003460,35.4991,0,0,0
2,0,0.122806,0.003459,35.5033,0,0,0
2,0,0.122788,0.003458,35.5083,0,0,0
2,0,0.122791,0.003458,35.5092,0,0,0
2,0,0.122829,0.003459,35.5099,0,0,0
2,0,0.122801,0.003458,35.5121,0,0,0
2,0,0.122811,0.003458,35.5150,0,0,0
2,0,0.122861,0.003458,35.5294,0,0,0
2,0,0.122916,0.003459,35.5351,0,0,0
2,0,0.122917,0.003459,35.5354,0,0,0
2,0,0.123022,0.003461,35.5452,0,0,0
2,0,0.122918,0.003458,35.5459,0,0,0
