test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
1,0,0.334254,0.000353,946.8951,0,0,0
1,0,0.321524,0.000336,956.9166,0,0,0
1,0,0.322033,0.000336,958.4315,0,0,0
1,0,0.322163,0.000336,958.8184,0,0,0
1,0,0.322248,0.000336,959.0714,0,0,0
1,0,0.322313,0.000336,959.2648,0,0,0
1,0,0.322436,0.000336,959.6309,0,0,0
1,0,0.322691,0.000336,960.3898,0,0,0
1,0,0.332515,0.000343,969.4314,0,0,0
1,0,0.325811,0.000336,969.6755,0,0,0
1,0,0.334765,0.000344,973.1540,0,0,0
1,0,0.327752,0.000336,975.4523,0,0,0
1,0,0.329263,0.000336,979.9494,0,0,0
1,0,0.331288,0.000336,985.9761,0,0,0
1,0,0.330311,0.000335,986.0029,0,0,0
1,0,0.331957,0.000336,987.9672,0,0,0
1,0,0.332550,0.000336,989.7321,0,0,0
1,0,0.332670,0.000336,990.0892,0,0,0
1,0,0.331887,0.000335,990.7074,0,0,0
1,0,0.332913,0.000336,990.8125,0,0,0
1,0,0.333062,0.000336,991.2559,0,0,0
1,0,0.333123,0.000336,991.4375,0,0,0
1,0,0.333232,0.000336,991.7619,0,0,0
1,0,0.334455,0.000337,992.4480,0,0,0
1,0,0.333955,0.000336,993.9136,0,0,0
1,0,0.333145,0.000335,994.4626,0,0,0
1,0,0.334256,0.000336,994.8095,0,0,0
1,0,0.333288,0.000335,994.8895,0,0,0
1,0,0.334321,0.000336,995.0029,0,0,0
1,0,0.333415,0.000335,995.2686,0,0,0
1,0,0.334603,0.000336,995.8422,0,0,0
1,0,0.333860,0.000335,996.5970,0,0,0
1,0,0.335146,0.000336,997.4583,0,0,0
1,0,0.334392,0.000335,998.1850,0,0,0
1,0,0.335632,0.000336,998.9047,0,0,0
1,0,0.335771,0.000336,999.3184,0,0,0
1,0,0.336152,0.000336,1000.4523,0,0,0
1,0,0.336728,0.000336,1002.1666,0,0,0
1,0,0.336774,0.000336,1002.3035,0,0,0
1,0,0.338522,0.000336,1007.5059,0,0,0
1,0,0.338832,0.000336,1008.4285,0,0,0
1,0,0.340897,0.000336,1014.5744,0,0,0
1,0,0.340928,0.000336,1014.6666,0,0,0
1,0,0.341533,0.000336,1016.4672,0,0,0
1,0,0.342229,0.000336,1018.5386,0,0,0
1,0,0.342976,0.000336,1020.7619,0,0,0
1,0,0.344476,0.000336,1025.2261,0,0,0
1,0,0.344021,0.000335,1026.9283,0,0,0
1,0,0.345072,0.000336,1027.0000,0,0,0
1,0,0.345471,0.000336,1028.1875,0,0,0
2,0,0.724048,0.000718,1008.4233,0,0,0
2,0,0.725405,0.000718,1010.3133,0,0,0
2,0,0.725427,0.000718,1010.3440,0,0,0
2,0,0.724770,0.000717,1010.8368,0,0,0
2,0,0.725395,0.000717,1011.7085,0,0,0
2,0,0.727695,0.000718,1013.5027,0,0,0
2,0,0.725863,0.000716,1013.7751,0,0,0
2,0,0.730167,0.000717,1018.3640,0,0,0
2,0,0.732218,0.000718,1019.8022,0,0,0
2,0,0.731875,0.000717,1020.7461,0,0,0
2,0,0.732314,0.000717,1021.3584,0,0,0
2,0,0.748478,0.000725,1032.3834,0,0,0
2,0,0.742326,0.000718,1033.8802,0,0,0
2,0,0.741471,0.000717,1034.1297,0,0,0
2,0,0.742213,0.000717,1035.1645,0,0,0
2,0,0.743372,0.000717,1036.7810,0,0,0
2,0,0.744051,0.000717,1037.7280,0,0,0
2,0,0.745366,0.000718,1038.1142,0,0,0
2,0,0.745391,0.000718,1038.1490,0,0,0
2,0,0.746153,0.000718,1039.2103,0,0,0
2,0,0.745697,0.000717,1040.0237,0,0,0
2,0,0.747675,0.000718,1041.3300,0,0,0
2,0,0.747142,0.000717,1042.0390,0,0,0
2,0,0.749368,0.000718,1043.6880,0,0,0
2,0,0.749403,0.000718,1043.7367,0,0,0
2,0,0.749965,0.000718,1044.5194,0,0,0
2,0,0.751181,0.000719,1044.7579,0,0,0
2,0,0.749122,0.000717,1044.8005,0,0,0
2,0,0.750456,0.000718,1045.2033,0,0,0
2,0,0.750836,0.000718,1045.7325,0,0,0
2,0,0.750880,0.000718,1045.7938,0,0,0
2,0,0.751012,0.000718,1045.9777,0,0,0
2,0,0.749985,0.000717,1046.0041,0,0,0
2,0,0.749987,0.000717,1046.0069,0,0,0
2,0,0.750417,0.000717,1046.6066,0,0,0
2,0,0.750464,0.000717,1046.6722,0,0,0
2,0,0.750977,0.000717,1047.3877,0,0,0
2,0,0.751039,0.000717,1047.4741,0,0,0
2,0,0.752532,0.000718,1048.0947,0,0,0
2,0,0.751844,0.000717,1048.5969,0,0,0
2,0,0.752015,0.000717,1048.8354,0,0,0
2,0,0.752306,0.000716,1050.7067,0,0,0
2,0,0.752834,0.000716,1051.4441,0,0,0
2,0,0.758535,0.000718,1056.4554,0,0,0
2,0,0.760649,0.000717,1060.8772,0,0,0
