test,nthreads,serial,parallel,speedup,total_serial,total_parallel,total_speedup
1,64,0.204419,0.005121,39.91778949423941,0.21009230613708496,0.06182861328125,3.397978621668312
1,64,0.202264,0.004933,41.00222988039732,0.207200288772583,0.05843353271484375,3.5459141206423817
1,64,0.199662,0.004143,48.19261404779146,0.20479846000671387,0.07132196426391602,2.8714641011412487
1,64,0.197904,0.004037,49.02254149120634,0.2029707431793213,0.06683802604675293,3.0367554995915658
1,64,0.200352,0.004037,49.62893237552638,0.20537853240966797,0.06677699089050293,3.0755883077516306
1,64,0.196523,0.003928,50.03131364562118,0.20149946212768555,0.06643247604370117,3.0331469505236184
1,64,0.196925,0.003928,50.13365580448065,0.20154261589050293,0.06647443771362305,3.0318814693666747
1,64,0.197282,0.003922,50.30137684854666,0.2022871971130371,0.06638979911804199,3.046962030316851
1,64,0.200496,0.003926,51.06877228731534,0.20528244972229004,0.06609892845153809,3.1056849866000094
1,64,0.193579,0.003736,51.814507494646676,0.19811367988586426,0.06538915634155273,3.029763510803538
1,64,0.20311,0.003899,52.09284431905617,0.20779657363891602,0.06641817092895508,3.1286102994493463
1,64,0.197502,0.003772,52.36002120890774,0.20245361328125,0.06695103645324707,3.0239055884164907
1,64,0.196104,0.003735,52.50441767068273,0.20097684860229492,0.06465268135070801,3.1085616930889137
1,64,0.198036,0.003769,52.54338020695144,0.20286250114440918,0.0682213306427002,2.9735934382000484
1,64,0.197161,0.003737,52.759165105699765,0.20175552368164062,0.06521797180175781,3.0935571608223906
1,64,0.197517,0.003738,52.840288924558585,0.20228862762451172,0.06817460060119629,2.9672139747154174
1,64,0.197558,0.003736,52.87955032119915,0.2024683952331543,0.0658564567565918,3.0743894403776673
1,64,0.199297,0.003767,52.90602601539687,0.20400357246398926,0.06685638427734375,3.0513701072692
1,64,0.198111,0.003738,52.9991974317817,0.2027287483215332,0.06551337242126465,3.094463631301791
1,64,0.199927,0.003768,53.05918259023354,0.20489978790283203,0.06591057777404785,3.1087542367669987
1,64,0.197144,0.003713,53.09561001885268,0.20177507400512695,0.06688618659973145,3.016692747227678
1,64,0.197737,0.003723,53.1122750470051,0.2026817798614502,0.0687556266784668,2.947857355868258
1,64,0.195453,0.003677,53.15556159912972,0.20025062561035156,0.06479954719543457,3.090309026487459
1,64,0.197345,0.003709,53.207063898624966,0.20232200622558594,0.0679926872253418,2.9756436240716453
1,64,0.196339,0.003688,53.237255965292846,0.2012166976928711,0.06463003158569336,3.113362205712009
